"GROUPID","block","REC","DET","ADL","MDL","DENTR","LAM","AVL","MVL","VENTR"
"1010","ExpBlock1","0.918592148037009","1.89467666634907","2.00865800865801","3","7.23325375760006","3.8996144112152","2.04162330905307","3","7.96238565905222"
"1010","ExpBlock2","0.750287571892973","1.25149980002666","2.00802139037433","3","6.61654654927012","4.05431557218423","2.11616161616162","4","7.76279170426828"
"10100","ExpBlock1","4.00766441610403","7.98950498076641","2.03828398599172","5","10.127550457674","15.1982897874016","2.1254146161684","6","10.7185386220311"
"10100","ExpBlock2","1.97435608902226","4.02890272245407","2.02160788052113","4","8.74504326562433","8.6883790155651","2.06211502782931","5","9.50124960533454"
"10102","ExpBlock1","1.99392348087022","3.97243437801773","2.02396166134185","4","8.73933692456653","7.15223503474244","2.06084939329051","3","9.3184383986643"
"10102","ExpBlock2","3.2088272068017","6.1895558793962","2.03236949846469","4","9.65354313733575","9.62237378306694","2.06612427877631","4","10.0816076203018"
"10102","Warmup","3.50873968492123","6.74164109910237","2.03890505442397","4","9.82446007656352","12.9505464761224","2.09261906123149","4","10.4539974468722"
"10103","ExpBlock1","3.23455863965992","6.47468109779668","2.03498967318673","5","9.70500056389294","13.2782892213272","2.09873287255972","6","10.3922430925508"
"10103","ExpBlock2","0.615503875968992","1.25944584382872","2.00647249190939","3","6.4257956221542","2.99933630046069","2.01905387647832","4","7.32523034292002"
"10103","Warmup","1.59566141535384","2.99480493022308","2.01157894736842","3","8.24152737254035","6.87967227532576","2.05567081604426","4","9.06279090389896"
"10104","ExpBlock1","1.48527131782946","2.80153545693313","2.01087613293051","3","8.10354774069258","5.90312272335916","2.05223773204778","4","8.84107915909018"
"10104","ExpBlock2","1.32781945486372","2.77592067721918","2.01366120218579","3","7.98062991053829","5.21908705256056","2.04453294713975","4","8.61118135898117"
"10104","Warmup","2.97528132033008","4.98060622869942","2.03258446235637","4","9.36060846438048","12.4617128473973","2.17321947674419","6","10.2050272987914"
"1020","ExpBlock1","1.3611152788197","2.98267531369991","2.02053515868077","3","8.07312426957576","5.75670653605383","2.0710692844394","5","8.71879075176467"
"1020","ExpBlock2","0.378294573643411","0.614754098360656","2","2","5.22574667371322","3.20870535714286","2.00970873786408","3","6.9362803997851"
"1020","Warmup","0.662128032008002","1.35392865910078","2.00840336134454","3","6.56998632041435","3.92488672962498","2.06214149139579","4","7.63895181723445"
"1024","ExpBlock1","2.15496374093523","4.16932592222983","2.0225161835069","4","8.86625356048003","8.40818105693015","2.03724291272929","4","9.5706294184174"
"1024","ExpBlock2","1.05721430357589","2.13113203084346","2.01116071428571","3","7.4899021866458","5.15966541891954","2.03138503525131","3","8.38545504292856"
"1024","Warmup","1.0444736184046","2.15353675616793","2.01230425055928","3","7.48754857493609","3.42132644352736","2.01966873706004","3","7.96971646658762"
"1025","ExpBlock1","0.600787696924231","1.5379492622422","2.00815217391304","3","6.60035991557206","3.63828894527582","2.02896935933148","3","7.48977354626709"
"1025","ExpBlock2","1.60665166291573","2.93463035019455","2.02090032154341","4","8.2224253260245","8.65134099616858","2.10890071915569","5","9.26651363963268"
"1025","Warmup","1.1494623655914","2.50505797637436","2.01135371179039","4","7.73495403213131","7.07677731172951","2.04444102721821","3","8.77555473547213"
"1032","ExpBlock1","0.996461615403851","2.02642508500947","2.00870646766169","3","7.38181793394135","5.75908540093271","2.11270767849124","5","8.39119218317069"
"1032","ExpBlock2","1.54509877469367","3.03859132362818","2.01340482573727","4","8.22265456787782","9.39543069192607","2.07592152722794","6","9.32909211958035"
"1032","Warmup","0.818592148037009","1.59154434787921","2.01158301158301","3","6.94189302658783","3.27251708141276","2.02383134738772","3","7.68551891173059"
"1034","ExpBlock1","0.849987496874219","1.77694095495867","2.01333333333333","3","7.08866578032066","4.03103655225629","2.00497512437811","3","7.94182836032168"
"1034","ExpBlock2","1.487871967992","2.94957983193277","2.01608271108558","4","8.15357106940742","5.7301652892562","2.0492093985518","4","8.814493116063"
"1034","Warmup","1.67878219554889","3.4617074678444","2.01648590021692","4","8.43417448002926","7.68846913091019","2.03298729019113","4","9.2369085089508"
"1035","ExpBlock1","1.53834708677169","3.2981948519551","2.01589667163438","4","8.29876970755884","9.24806257347825","2.12818625195546","4","9.27793436684292"
"1035","ExpBlock2","0.523643410852713","1.23683770683604","2.0077519379845","3","6.2452787352158","4.70021193682915","2.05941088367449","4","7.59650058083446"
"1035","Warmup","0.813690922730683","1.60420412114507","2.01156069364162","3","6.94382399071661","5.28406803917769","2.05002891844997","4","8.1429402016424"
"1036","ExpBlock1","7.61806701675419","14.4208123185397","2.07542044595616","6","11.3385110292895","28.3270052168109","2.18240824763057","5","11.9547803707366"
"1036","ExpBlock2","1.23697174293573","2.39050670655898","2.01105442176871","3","7.76184698413243","4.40341612753014","2.03876146788991","3","8.37629622865852"
"1036","Warmup","4.38603400850213","8.73872204563919","2.05187416331995","5","10.2993583943137","16.8784988449383","2.16958755374189","4","10.898348059235"
"1037","ExpBlock1","0.938784696174043","1.96180278088541","2.01229508196721","4","7.28739358143715","5.21184681645997","2.04452926208651","4","8.27094969158261"
"1037","ExpBlock2","5.99047261815454","11.9845340652345","2.06161137440758","6","10.9211978948696","24.1173682963431","2.1712355681967","6","11.5570447391093"
"1037","Warmup","3.31237809452363","6.16667421600157","2.0332296204107","5","9.68090255623735","12.1678829929118","2.09346095587999","5","10.3320486626132"
"1038","ExpBlock1","0.912753188297074","1.62324319881647","2.00507614213198","3","7.07441857173553","4.0412255673182","2.02674690738883","4","7.99975434405651"
"1038","ExpBlock2","1.86699174793698","3.57415518142002","2.02006056018168","4","8.57027568417237","10.5179683059965","2.10209337647758","4","9.61441238176734"
"1038","Warmup","1.43580895223806","2.63157894736842","2.0173564753004","4","8.00309635444535","7.25932075730083","2.08698326771653","4","8.9948643952196"
"1039","ExpBlock1","2.04198549637409","4.16426848234732","2.01989901989902","4","8.81264177801815","8.31548893647395","2.10843558282209","5","9.46321065307359"
"1039","ExpBlock2","1.21582895723931","2.3127866559717","2.01162790697674","3","7.71120976511339","5.10015920678745","2.03313918457522","4","8.50918870283609"
"1039","Warmup","1.77746936734184","3.38416735836581","2.01803691275168","4","8.46771765242107","12.1956548882507","2.12029667149059","5","9.70375849828539"
"1040","ExpBlock1","1.35433858464616","2.65878877400295","2.01398601398601","4","7.95698039793475","7.17141044234953","2.05733974775712","4","8.94148354158346"
"1040","ExpBlock2","0.653613403350838","1.30078812456959","2.00589970501475","3","6.51851516486328","3.80554941410568","2.05829596412556","4","7.59670218763708"
"1040","Warmup","1.49732433108277","2.90590868098467","2.01739130434783","3","8.14430140618004","8.3420940241138","2.11538061022597","5","9.15492541625329"
"1041","ExpBlock1","1.86761690422606","3.93045550705621","2.02378490175801","4","8.66331071567753","13.2759030732236","2.16446766115569","6","9.80355019781881"
"1041","ExpBlock2","1.09659914978745","2.18913187239185","2.0125786163522","3","7.55247799424507","6.13894276859965","2.0863799962114","4","8.5632600125005"
"1041","Warmup","4.18549637409352","7.99776553668941","2.04109171304414","4","10.1703939261457","21.1531494613311","2.13417520522499","5","11.0961906919914"
"1042","ExpBlock1","0.969754938734684","1.87852142184861","2.00137362637363","3","7.28329994324113","4.89750003142243","2.0682059447983","4","8.22649844286496"
"1042","ExpBlock2","0.979994998749687","1.85506506761929","2.01944444444444","3","7.27036146102313","4.51418263249565","2.01639344262295","3","8.1866852258376"
"1042","Warmup","3.55252563140785","6.94257226420208","2.03886304909561","4","9.86633470389522","16.5557035064359","2.17064173940935","5","10.6642065848434"
"1043","ExpBlock1","1.52620655163791","2.96478954008487","2.01503340757238","3","8.18487795482752","7.3509261199684","2.05683355886333","4","9.08452101323169"
"1043","ExpBlock2","1.15616404101025","2.2829025629934","2.00856327307326","3","7.6497310895727","5.12543664655446","2.05169491525424","4","8.4535924711513"
"1043","Warmup","1.75867716929232","3.60801655066508","2.01548848292295","5","8.52255043734154","7.74679480439369","2.10404569252737","4","9.24935553982954"
"1044","ExpBlock1","0.951737934483621","1.78665265370468","2.01183431952663","3","7.2080847121164","5.78917050691244","2.03030303030303","3","8.39866506317505"
"1044","ExpBlock2","0.384283570892723","0.657231169676265","2","2","5.3082676974012","3.2533985031312","2.09645669291339","4","6.91364776438801"
"1044","Warmup","2.21466616654164","4.44534774091199","2.02052861175263","4","8.95891971585072","10.6928526369265","2.07305590129336","5","9.81326902593937"
"1045","ExpBlock1","0.418567141785446","0.854317889894554","2","2","5.65599181081979","3.1569749415114","2.01438848920863","3","7.01239542625844"
"1045","ExpBlock2","2.34546136534134","4.79023402100325","2.02981703185001","4","9.0853657589854","10.9942507516219","2.09413774049329","5","9.88493755873796"
"1045","Warmup","2.37416854213553","4.47163034662903","2.02262982372558","4","9.0330726042309","11.9534515285117","2.10469810974491","6","9.97578765759776"
"1046","ExpBlock1","0.890560140035009","1.63842363148806","2.01554404145078","3","7.05281069148183","4.98654867740041","2.0537120359955","4","8.17066140409285"
"1046","ExpBlock2","1.6506751687922","3.07375341801683","2.00990589400693","4","8.30236673661056","8.45725669857709","2.10463281032402","5","9.27367303264392"
"1046","Warmup","1.73279569892473","3.80549682875264","2.01682600382409","3","8.56039620721237","10.8130792594015","2.13496243241345","6","9.54710286946552"
"1047","ExpBlock1","0.662315578894724","1.6178358378011","2.01173708920188","3","6.74634109640204","5.27268427563123","2.10264780558578","4","7.90623567394629"
"1047","ExpBlock2","0.47413103275819","0.804303683974579","2.00657894736842","3","5.71632359521618","4.15069762781493","2.01827040194884","3","7.40175259324715"
"1047","Warmup","4.41867966991748","8.64133602711895","2.05387046876051","5","10.2943685757959","19.155557306292","2.18600992181354","5","11.0214893970732"
"1050","ExpBlock1","0.623218304576144","1.05527134115759","2.00763358778626","3","6.26067613545892","4.05728614138297","2.03138580395944","3","7.63256406036836"
"1050","ExpBlock2","2.59403600900225","5.02431665148382","2.02565099106102","4","9.23636500819099","8.98740159735715","2.08968808968809","4","9.78862132652556"
"1050","Warmup","3.27358089522381","6.43378491412072","2.03515766582095","4","9.71063436071021","16.6630025661339","2.17314251816699","6","10.5895468051662"
"1051","ExpBlock1","1.42215553888472","2.89773526515684","2.01343921808186","4","8.09224265340584","8.66222007188278","2.10563897931324","5","9.15069174839876"
"1051","ExpBlock2","1.96461615403851","3.7389422770954","2.01890034364261","4","8.66701597034661","7.50518444039465","2.06841011430551","5","9.34761658035555"
"1051","Warmup","3.53929732433108","6.58628692951995","2.03470479100731","4","9.81238649627372","12.4703146211672","2.15595245315058","5","10.3861041913322"
"1052","ExpBlock1","0.373693423355839","0.856531049250535","2","2","5.54517744447957","2.86001003512293","2.03798882681564","4","6.79240707601291"
"1052","ExpBlock2","0.933720930232558","1.72337604949183","2.00780031201248","3","7.15534350703539","6.00033907588779","2.06461745568768","4","8.3958110577728"
"1052","Warmup","1.75481370342586","3.43712148200926","2.01672240802676","3","8.47127254168671","5.6919564453811","2.06275458248472","3","8.96292189398553"
"1054","ExpBlock1","0.534546136534134","1.05957476668304","2.00442477876106","3","6.11320692609161","3.13610260764641","2.01218637992832","3","7.23935755557594"
"1054","Warmup","1.56941735433858","3.17314893006804","2.0177304964539","3","8.27910169632479","8.05860949483226","2.08279286582894","4","9.1891960887815"
"1056","ExpBlock1","1.768192048012","3.18554659878376","2.02199281867145","4","8.39948639643394","9.86926509552364","2.06574722708698","7","9.51712244625776"
"1056","ExpBlock2","0.610577644411103","1.39247245771389","2.01183431952663","3","6.51493753155645","5.7746783648739","2.0585553997195","4","7.94945406002214"
"1056","Warmup","2.09879969992498","4.01402346577387","2.02281597117983","4","8.80169746213882","9.47592751763196","2.17088138107762","4","9.58699899478392"
"1059","ExpBlock1","5.26761690422606","10.1783984960978","2.05619755454328","5","10.6323327056929","19.4555213274621","2.10207128909989","5","11.2571658893218"
"1059","ExpBlock2","1.33829707426857","2.52716350420883","2.01414743112435","3","7.89431319454815","4.64291937599164","2.03190848886213","5","8.50940888980446"
"1059","Warmup","2.36880470117529","4.67599508067794","2.02445155393053","4","9.074459054396","11.8224980021624","2.12017609591607","7","9.95446065266604"
"1060","ExpBlock1","3.58999749937484","6.92513443481653","2.03896636587367","4","9.87421925904099","13.9123502393404","2.08812001972643","4","10.5508693033631"
"1060","ExpBlock2","1.75227556889222","3.39215252556244","2.01355357899195","3","8.45855387964505","5.16683433347169","2.03392412074218","3","8.88141857554362"
"1060","Warmup","2.09328582145536","4.28739524910256","2.02653867871259","4","8.86260998772136","11.2887422456484","2.11729215100188","6","9.7880177281622"
"1061","ExpBlock1","1.35942735683921","2.67550838338223","2.01314878892734","3","7.96761982825782","5.83055623289713","2.0295504558315","3","8.75505437344269"
"1061","ExpBlock2","1.9933983495874","4.00421496311907","2.01833702181473","4","8.75044570196051","8.93627038009812","2.09649760209272","4","9.52028096270036"
"1061","Warmup","1.75646411602901","3.30718526216882","2.01824500434405","4","8.4326925199408","7.83256832441993","2.06781545302946","4","9.27958974398451"
"1062","ExpBlock1","1.44188547136784","3.07400149147604","2.0176437108708","4","8.16246470802196","5.8539745316309","2.10255625287004","4","8.77470247791038"
"1062","ExpBlock2","2.00933983495874","3.99733676815571","2.02713789839066","4","8.75145911428848","7.45911362141764","2.02781954887218","3","9.38728505695659"
"1062","Warmup","6.27306826706677","12.1797018257195","2.06480824463592","6","10.9814759902796","16.7779718891448","2.11097650834884","4","11.2792616496691"
"1067","ExpBlock1","2.11759189797449","3.86856788592684","2.01537988311289","4","8.77819113769829","14.6573104192805","2.10593611134401","5","10.0673241031105"
"1067","ExpBlock2","1.34682420605151","2.81194589626714","2.01664447403462","4","8.00583605098162","5.31721944239375","2.04665848096825","3","8.64372750624869"
"1067","Warmup","1.38973493373343","2.86637097282076","2.01645569620253","4","8.05648819589754","7.40249754752499","2.07096056372852","3","8.99144649537577"
"1068","ExpBlock1","1.81519129782446","3.78153865228442","2.01467889908257","4","8.60175901518833","11.0630592679662","2.09138783636247","4","9.64468266072012"
"1068","ExpBlock2","1.89418604651163","3.74330844835211","2.02030637691486","4","8.63071483588134","7.16626383577529","2.03741433598815","4","9.28291153082715"
"1068","Warmup","1.22624406101525","2.19729798623502","2.00838769804287","4","7.67030825033722","3.90257307019735","2.03199791883455","3","8.25098648938052"
"1069","ExpBlock1","1.81949237309327","3.63241549445792","2.02218821729151","4","8.55934177829756","6.65794486283495","2.06778947368421","4","9.15113576658428"
"1069","ExpBlock2","1.50111277819455","3.11763383003357","2.01344809037117","3","8.21951824007011","5.0864745737717","2.04395061728395","4","8.7069440440751"
"1069","Warmup","1.24786196549137","2.55400585146888","2.01661392405063","3","7.83343510119404","5.96145534556599","2.07168458781362","4","8.66773953948181"
"1070","ExpBlock1","1.47745686421605","2.91705806189545","2.01814988290398","4","8.13412296912776","5.04631055114965","2.03797681062006","4","8.68742991236693"
"1070","ExpBlock2","1.62120530132533","3.35328232971372","2.01857010213556","3","8.3662808588732","6.58608275610645","2.03460816518067","4","9.04640115033492"
"1070","Warmup","1.32320580145036","2.87347632996315","2.01257445400397","4","8.01222997796486","10.3820829082816","2.14813393456778","5","9.23346316495818"
"1071","ExpBlock1","2.24321080270068","4.6970102334292","2.0252343186734","4","9.02395924557128","9.95496439044826","2.08551302038224","4","9.75039370610659"
"1071","ExpBlock2","0.531757939484871","1.06042793322361","2.00444444444444","3","6.10877023235349","2.8632382663373","2.01421800947867","3","7.14211513765642"
"1071","Warmup","3.30908977244311","6.16297830054296","2.03379052369077","4","9.67921847969369","14.2604280340957","2.09584435626102","5","10.489868955147"
"1072","ExpBlock1","2.00241310327582","3.89877179946676","2.0220207253886","4","8.72602034342119","7.74422921561735","2.09466221851543","5","9.3776789140719"
"1072","Warmup","1.36296574143536","2.60618291899826","2.01061571125265","4","7.94536941496287","5.69047833528511","2.05097402597403","4","8.72074102935784"
"1074","ExpBlock1","0.760665166291573","1.3494855189191","2.00733496332518","3","6.70607830315156","4.04054871256246","2.04428341384863","4","7.8130421075365"
"1074","ExpBlock2","4.65821455363841","8.92866728937847","2.05149552883133","5","10.3812324851174","20.1233968026826","2.1973617083303","5","11.1125100482592"
"1074","Warmup","1.4513503375844","2.85322926627555","2.00727272727273","3","8.10090028607002","7.82442263230549","2.07664643740166","5","9.08433978195414"
"1075","ExpBlock1","2.04484871217804","4.04409741542187","2.01523461304083","4","8.7876969077103","12.6985085806448","2.13518866487228","4","9.87449073448315"
"1075","ExpBlock2","0.601512878219555","1.12868694007358","2.00369003690037","3","6.29486918121504","3.73884930850745","2.05540318156884","4","7.50105278525945"
"1075","Warmup","1.03208302075519","1.82807162067211","2.00398406374502","3","7.31678417780504","5.605824048447","2.07463339899322","6","8.41558056167317"
"1076","ExpBlock1","0.809402350587647","1.80116164112704","2.00688468158348","3","7.05716148415138","4.34023615439942","2.05061946902655","3","7.94123171500134"
"1076","ExpBlock2","1.54736184046012","3.11495014463711","2.01832460732984","3","8.24608248927889","5.62071597830754","2.04085462682258","3","8.83905329454016"
"1077","ExpBlock1","1.7072768192048","3.27064475495796","2.01716350496838","4","8.3937462786892","13.1741345959523","2.15737840553159","5","9.71939429427884"
"1077","ExpBlock2","1.55825206301575","3.020966227764","2.01660417782539","3","8.2234876674432","5.60140252232901","2.04262059035277","4","8.84131512021"
"1078","ExpBlock1","0.668404601150288","1.31128528404946","2.00859598853868","3","6.54730220091047","4.33022593267098","2.03430749682338","3","7.76333497116366"
"1078","ExpBlock2","1.48080770192548","2.97378308776966","2.01718213058419","3","8.15642317045095","6.37356250259476","2.02159599683961","4","8.93210698585874"
"1078","Warmup","1.70231307826957","3.26549199051054","2.01999091322126","3","8.38772199414868","9.36981997958755","2.09305521869189","4","9.4130864838245"
"1080","ExpBlock1","2.53473368342086","4.88832327058916","2.02741407528642","4","9.18478332363088","10.9020261029268","2.07835925132694","4","9.96487336594337"
"1080","ExpBlock2","0.451862965741435","0.758162700608744","2","2","5.61312810638805","3.99973780807551","2.06009453072248","3","7.29459432360416"
"1080","Warmup","1.67116779194799","3.17671704324405","2.02383222116301","4","8.33916854418568","8.04326993955477","2.07049335863378","4","9.25584696164728"
"1083","ExpBlock1","1.3773568392098","2.72237906337088","2.01952861952862","3","7.99427176981035","6.8941075775002","2.14612822647794","5","8.86599219999436"
"1083","ExpBlock2","1.00413853463366","2.20393221351994","2.00908059023837","3","7.47323699359347","4.73083791959762","2.0046332046332","3","8.26438079458126"
"1083","Warmup","2.15362590647662","3.98729731141907","2.02357100766058","4","8.82031095059017","9.18121976275058","2.0787422037422","5","9.63241991153952"
"1084","ExpBlock1","0.630657664416104","1.20539254559873","2.00660066006601","3","6.4061735815571","4.52135774218154","2.01529961750956","3","7.76183253699908"
"1084","ExpBlock2","1.83988497124281","3.60166899982331","2.01674277016743","3","8.56536372326413","6.09671882752055","2.05386787125918","3","9.08341211259848"
"1084","Warmup","1.9577519379845","4.27191038504033","2.03622526636225","4","8.78652870358824","15.9789003726802","2.21654128761372","5","10.018398094019"
"1086","ExpBlock1","0.418554638659665","0.961883140160115","2","2","5.77455154554445","2.74269928966062","2.01449275362319","3","6.87163303668725"
"1086","ExpBlock2","0.643185796449112","1.26744683332685","2","2","6.48004456192658","3.53467310355151","2.0322754168908","5","7.52253144281112"
"1086","Warmup","1.128032008002","1.88317446242518","2.01303317535545","3","7.42991969579362","5.84417696811971","2.07049558202075","4","8.54871186062756"
